Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Meter_X	Meter_Y	Meter_Z	Top	Height	Distance
1455277532.941923134	0	0	119	116	222	-1783.33	66.1494	3929.41	800.408	1468.52	28.0824
1455277532.975687019	0	0	121	111	214	-1803.75	79.3793	3929.41	787.178	1415.6	20.4197
1455277533.009251348	0	0	122	120	200	-1812.1	121.921	4023.53	799.259	1354.68	8.35535
1455277533.042767279	0	0	123	106	212	-1839.12	73.6358	3976.47	783.217	1419.16	27.0226
1455277533.076283209	0	0	123	104	206	-1846.01	93.7182	3976.47	783.217	1379	6.88818
1455277533.109751217	0	0	107	99	262	-1866.68	13.3883	3976.47	890.323	1753.87	20.6642
1455277533.143315308	0	0	124	97	195	-1895.74	128.694	4023.53	785.712	1320.81	29.0605
1455277533.176831238	0	0	125	97	195	-1895.74	121.921	4023.53	778.939	1320.81	0
1455277533.210347168	0	0	99	95	222	-545.22	58.2273	1152.94	273.668	430.882	1350.52
1455277533.244974606	0	1	124	94	217	-1917.91	54.8208	4070.59	794.902	1487.01	1372.69
1455277533.278490536	0	1	125	93	194	-1924.96	123.347	4070.59	788.049	1329.4	7.05103
1455277533.312650434	0	0	125	93	192	-1932.01	130.199	4070.59	788.049	1315.7	7.05115
1455277533.346166603	0	1	125	92	199	-1947.21	110.909	4117.65	797.16	1379.43	15.2028
1455277533.379777424	0	0	76	92	295	-614.223	37.0357	1294.12	357.286	642.679	1332.99
1455277533.413293354	0	0	96	91	221	-616.465	74.0715	1294.12	313.714	481.465	2.24176
1455277533.446070425	0	0	124	91	195	-2017.52	135.468	4235.29	827.065	1390.33	1401.06
1455277533.479583017	0	0	80	90	303	-616.465	19.6072	1294.12	348.572	660.108	1401.06
1455277533.513098948	0	1	130	88	186	-2039.94	122.555	4282.35	793	1340.89	1423.47
1455277533.546614878	0	0	109	89	208	-2047.36	194.646	4282.35	944.391	1499.49	7.41772
1455277533.580131046	0	0	104	87	211	-2054.77	223.482	4282.35	980.437	1521.12	7.41797
1455277533.613646976	0	0	114	87	272	-2077.35	-72.8832	4329.41	918.328	1982.42	22.5798
1455277533.646883957	0	0	128	86	189	-2077.35	131.19	4329.41	816.291	1377.49	0
1455277533.680400126	0	0	133	86	180	-2077.35	123.901	4329.41	779.85	1311.9	0
1455277533.713567011	0	0	128	87	189	-2111.22	133.329	4400	829.6	1399.95	33.8701
1455277533.747082941	0	0	118	87	198	-2111.22	170.364	4400	903.672	1466.62	0
1455277533.780598871	0	0	133	87	183	-2133.8	119.782	4447.06	801.041	1370.01	22.5798
1455277533.814115040	0	1	88	100	227	-537.231	75.6955	1152.94	295.018	440.587	1596.57
1455277533.847630970	0	3	126	90	189	-2095.29	149.727	4447.06	853.446	1414.92	1558.06
1455277533.881146900	0	9	134	86	183	-2097.24	114.078	4517.65	806.151	1391.75	1.95654
1455277533.914663069	0	7	116	89	203	-2105.07	174.92	4517.65	943.045	1543.86	7.82544
1455277533.948178999	0	15	82	82	237	-591.806	87.1429	1294.12	344.214	516.322	1513.26
1455277533.981988422	0	8	77	97	238	-667.127	108.057	1458.82	400.303	584.491	75.3208
1455277534.015210859	0	8	134	99	182	-2079.56	115.266	4564.71	814.549	1398.56	1412.43
1455277534.048727028	0	8	130	99	185	-2079.56	138.32	4564.71	845.286	1421.62	0
1455277534.082536451	0	16	139	90	248	-2079.6	-179.475	4635.29	788.128	1935.21	0.0405273
1455277534.116052382	0	8	124	98	205	-2111.71	109.246	4635.29	905.177	1599.67	32.1172
1455277534.149275057	0	10	99	96	218	-523.251	62.1091	1152.94	273.668	423.118	1588.46
1455277534.182790987	0	9	112	95	205	-2173.54	208.034	4752.94	1024.17	1640.27	1650.29
1455277534.216304533	0	24	140	80	177	-2086.81	95.065	4705.88	792.208	1402.21	86.7332
1455277534.249820463	0	25	140	80	179	-2099.45	88.0143	4752.94	800.13	1432.23	12.635
1455277534.283336632	0	25	94	82	277	-2091.21	64.0104	4752.94	1168.19	2216.36	8.23315
1455277534.316852562	0	33	143	73	176	-2066.51	72.0117	4752.94	776.126	1408.23	24.6995
1455277534.350303642	0	46	160	59	156	-2017.11	16.0026	4752.94	640.104	1248.2	49.3986
1455277534.383779041	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	195.516
1455277534.417335741	0	58	161	47	154	-1870.3	15.2104	4517.65	600.811	1171.2	48.7057
1455277534.450851671	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	29.2235
1455277534.484367840	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	0
1455277534.517878525	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	0
1455277534.551358931	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	0
1455277534.584667437	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	19.4822
1455277534.618183605	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	19.4822
